Ee (keV), d\omega/dEe
92.8,5.21192525424028e-32
92.9,5.21127426639242e-32
93,5.21062335105739e-32
93.1,5.20997250835077e-32
93.2,5.20932173838833e-32
93.3,5.20867104128594e-32
93.4,5.20802041715962e-32
93.5,5.20736986612554e-32
93.6,5.20671938829997e-32
93.7,5.20606898379935e-32
93.8,5.20541865274024e-32
93.9,5.20476839523935e-32
94,5.20411821141351e-32
94.1,5.20346810137971e-32
94.2,5.20281806525505e-32
94.3,5.2021681031568e-32
94.4,5.20151821520234e-32
94.5,5.2008684015092e-32
94.6,5.20021866219504e-32
94.7,5.19956899737768e-32
94.8,5.19891940717505e-32
94.9,5.19826989170524e-32
